Stock,Model,Variant,RMSE,MAE,R2,MAPE%,n_obs,n_test
ENPH,CNN-LSTM,score_plus_topic_vader,12.14884649634117,9.49892120361327,0.3858543783002043,3.1593161742999554,233,20
ENPH,LSTM,no_scores,13.282550458520506,10.497819519042963,0.2658847945725754,3.528961647594654,233,20
ENPH,LSTM,only_score,14.06333111366837,10.564585876464832,0.17704199324621217,3.525181838131844,233,20
ENPH,LSTM,only_score_bert,13.636501556257501,10.442008972167958,0.22623834549531108,3.4730156364992792,233,20
ENPH,LSTM,score_bert_plus_topic_bert,13.959641438956291,10.858476257324218,0.18913268040623232,3.6512517718563133,233,20
ENPH,LSTM,score_plus_topic_vader,14.831194792678692,11.238973999023425,0.0847208935202044,3.7248702500203916,233,20
F,CNN,no_scores,1.0281019367150073,0.8264305591583245,0.4576302488024051,6.448250442463587,233,20
F,CNN,only_score,0.9183020552250705,0.6826070308685301,0.5672927036950212,5.382532658187943,233,20
F,CNN,only_score_bert,0.8219629590737519,0.7403904914855958,0.6533209485560377,5.525388474094865,233,20
F,CNN,score_bert_plus_topic_bert,0.8025922832175412,0.7320881843566895,0.6694683396256358,5.479650596494103,233,20
F,CNN,score_plus_topic_vader,0.731349265489472,0.6793900489807124,0.7255439776772981,4.962839148229446,233,20
F,CNN-LSTM,no_scores,0.6192977671453743,0.5417667388916019,0.8032013413186143,3.93275833456804,233,20
F,CNN-LSTM,only_score,0.6246515696952302,0.5416948318481448,0.799784001642634,4.006975851585374,233,20
F,CNN-LSTM,only_score_bert,0.6517972162819521,0.5863420963287355,0.7820042090288614,4.214123476029131,233,20
F,CNN-LSTM,score_bert_plus_topic_bert,0.7543126822296659,0.6792946815490724,0.7080382723755927,4.789403685022379,233,20
F,CNN-LSTM,score_plus_topic_vader,0.7946924028215294,0.6928332805633546,0.6759431335383923,4.842131882529252,233,20
F,LSTM,no_scores,0.7615715194745623,0.6975835323333741,0.7023920732363459,4.9583962410765805,233,20
F,LSTM,only_score,0.6366169370440855,0.5508308410644533,0.7920401558881567,4.082565756369534,233,20
F,LSTM,only_score_bert,0.6375342035047178,0.5673302173614503,0.7914404482681657,4.047172171936149,233,20
F,LSTM,score_bert_plus_topic_bert,0.64846562840759,0.5533627033233646,0.7842270353520253,4.114359508714608,233,20
F,LSTM,score_plus_topic_vader,0.8235199037665377,0.7661169052124024,0.6520063605826489,5.502296511424952,233,20
GOOG,CNN,no_scores,9.243299800434361,7.320466232299802,-2.935975379612069,7.2295147793488805,233,20
