Stock,Modèle,AvecTopic,RMSE,MAE,R2,MAPE%
TSLA,LSTM,False,9.376847252986032,7.521032714843753,0.4895885716502437,2.6256856462418203
TSLA,LSTM,True,10.003791659195345,8.59414825439453,0.4190537083750475,2.9776881133013346
TSM,CNN,False,4.898299795951405,3.4584327697753907,-1.1417553217272736,4.668423652692072
TSM,CNN,True,6.123551946714256,4.665982055664062,-2.347232988248423,6.24654426810523
TSM,CNN-LSTM,False,3.03722014613137,2.3079654693603517,0.1765605415531335,3.090306052796974
TSM,CNN-LSTM,True,5.512242881026808,4.222344970703125,-1.7122881141509705,5.671780272827531
TSM,LSTM,False,2.7784416582806446,2.317814254760742,0.31090088192597576,3.0780490603451396
TSM,LSTM,True,2.878154552348089,2.4304542541503906,0.260552487015845,3.229790768124321
VZ,CNN,False,1.47993773708909,1.144001960754395,-0.6849242162010498,2.8446588028798847
VZ,CNN,True,3.8098423454935815,3.622310447692871,-10.166253738362228,9.074906776848053
VZ,CNN-LSTM,False,0.9316163008079114,0.6773155212402348,0.3323211165510115,1.7326205055490633
VZ,CNN-LSTM,True,0.799699659724857,0.5880350112915043,0.5080201613900606,1.4756842167915336
VZ,LSTM,False,0.7268589717818292,0.5721410751342777,0.5935624787590849,1.4430686532324821
VZ,LSTM,True,2.2177407184227227,2.0810565948486324,-2.7836854411953746,5.212554363522452
XPEV,CNN,False,1.8858907012261574,1.6912949085235591,-1.0624222934352434,11.330214777187745
XPEV,CNN,True,9.014633422872372,8.346346855163574,-46.12384275482806,57.52365758400193
XPEV,CNN-LSTM,False,3.411779128205587,3.307515335083008,-5.750040402022132,22.207366370469877
XPEV,CNN-LSTM,True,3.8172151517988677,3.6515573501586913,-7.449632765558821,24.937326680118648
XPEV,LSTM,False,3.1528829601149564,3.054930305480957,-4.764481568890382,20.375859221890906
XPEV,LSTM,True,4.721983188420511,4.489176559448242,-11.929848292167534,30.711382396966403
ZS,CNN,False,14.931869730480125,10.594501495361328,-0.13949261614998476,6.177861822657482
ZS,CNN,True,19.39719374987133,14.906960296630857,-0.9229187676342314,8.758418571886263
ZS,CNN-LSTM,False,12.07709477608397,8.700535583496091,0.2545679188712975,5.075798193935239
ZS,CNN-LSTM,True,13.450752203929207,10.286532592773435,0.07535234081888786,5.963808113037401
ZS,LSTM,False,11.473025624686436,7.827252960205075,0.32727269142224136,4.573280242184556
ZS,LSTM,True,14.12491611880522,11.218473815917966,-0.019658832256080894,6.4730191977769085
